,City,Date,Humidity,Latitude,Longitude,Temperature,Wind,Cloud Cover
267,Marrakesh,1571617734,63,31.63,-7.99,64.4,9.17,75
451,Kokopo,1571617908,63,-4.34,152.27,84.6,3.51,28
251,Honiara,1571617718,62,-9.43,159.96,87.8,10.29,40
198,Amapa,1571617667,62,15.09,-87.97,89.6,13.87,20
51,Bredasdorp,1571617522,62,-34.53,20.04,57.2,10.29,100
144,Ribeira Grande,1571617612,62,38.52,-28.7,65.41,9.19,72
428,Doctor Arroyo,1571617886,62,23.67,-100.18,73.04,14.88,49
162,Rio Gallegos,1571617632,62,-51.62,-69.22,51.8,13.87,75
38,Cape Town,1571617511,62,-33.93,18.42,59.0,3.36,20
63,San Carlos de Bariloche,1571617533,61,-41.13,-71.31,46.4,24.16,75
386,Znamenskoye,1571617847,61,57.13,73.82,22.28,8.05,9
201,Mecca,1571617670,60,21.43,39.83,81.14,5.37,0
326,Yantzaza,1571617789,60,-3.83,-78.76,75.2,12.75,90
124,Coolum Beach,1571617593,59,-26.53,153.09,73.99,7.0,21
508,Ola,1571617961,59,59.58,151.3,31.8,10.07,25
235,Paracatu,1571617703,59,-17.22,-46.87,76.53,14.94,52
491,Kosonsoy,1571617945,58,41.25,71.55,55.4,2.24,100
440,Azle,1571617897,58,32.9,-97.55,84.2,19.46,90
72,Hilo,1571617541,58,19.71,-155.08,86.0,12.75,20
459,La Reforma,1571617915,58,25.08,-108.06,87.8,9.17,20
496,Lisakovsk,1571617950,58,52.55,62.49,26.03,4.63,11
304,Clive,1571617768,58,41.61,-93.78,59.0,8.05,20
143,Tasiilaq,1571617611,58,65.61,-37.64,32.0,10.29,11
341,Tezu,1571617803,56,27.93,96.16,69.89,1.25,99
457,Pasni,1571617913,56,25.26,63.48,76.05,1.92,0
154,Aitape,1571617623,56,-3.15,142.36,86.74,3.44,52
140,Saint Anthony,1571617609,56,43.97,-111.68,41.0,18.34,75
89,Buzmeyin,1571617559,55,38.05,58.21,60.8,6.93,40
222,Port Keats,1571617691,55,-14.25,129.55,89.58,1.59,71
192,Fairbanks,1571617661,55,64.84,-147.72,39.2,2.1,75
42,College,1571617514,55,64.86,-147.8,39.2,2.1,75
478,Whitehorse,1571617934,55,60.72,-135.06,36.0,4.7,40
205,Brainerd,1571617674,54,46.36,-94.2,57.2,3.36,75
331,Morris,1571617793,54,45.59,-95.91,55.99,6.93,1
379,Yeppoon,1571617840,54,-23.13,150.74,78.8,12.75,40
309,Chama,1571617773,54,-11.22,33.16,75.72,4.12,18
430,Turbat,1571617888,53,26.0,63.05,77.36,2.01,0
519,Charters Towers,1571617973,53,-20.07,146.27,79.23,16.6,18
168,Yakeshi,1571617637,53,49.28,120.73,29.91,19.44,0
312,Shieli,1571617776,53,44.18,66.74,47.16,18.34,47
249,Chikwawa,1571617716,53,-16.03,34.79,78.57,1.16,28
20,Constitucion,1571617494,53,23.99,-104.67,75.2,9.17,90
345,Kununurra,1571617809,52,-15.77,128.74,89.6,8.05,3
245,Maniitsoq,1571617712,52,65.42,-52.9,36.05,6.44,0
324,Cairns,1571617787,51,-16.92,145.77,84.2,12.75,75
37,Evensk,1571617510,51,61.92,159.24,21.22,3.98,84
525,Launceston,1571617979,51,-41.43,147.14,64.0,6.93,1
149,Barrow,1571617618,50,-38.31,-60.23,57.4,5.44,99
25,Balkhash,1571617498,50,46.84,74.98,25.7,18.3,0
431,Orange Cove,1571617889,49,36.62,-119.31,75.99,3.36,1
110,Pangnirtung,1571617579,49,66.15,-65.72,17.39,3.36,12
476,Byron Bay,1571617932,49,-28.65,153.62,72.0,11.41,90
529,Fortuna,1571617982,48,40.6,-124.16,61.0,3.36,90
308,Touho,1571617772,48,-20.78,165.23,83.45,6.46,25
62,Eureka,1571617533,48,40.8,-124.16,61.0,3.36,90
161,Xiongyue,1571617631,48,40.18,122.12,53.87,17.96,0
465,Bundaberg,1571617921,47,-24.87,152.35,81.0,21.92,40
429,Baruun-Urt,1571617887,47,46.68,113.28,30.4,1.52,7
398,Zhaoyang,1571617857,47,42.68,126.03,45.05,0.87,0
182,Kahului,1571617652,46,20.89,-156.47,93.2,12.75,20
85,Qaanaaq,1571617554,46,77.48,-69.36,1.35,10.16,0
226,Umm Kaddadah,1571617694,46,13.6,26.69,86.07,4.59,99
452,Lompoc,1571617909,46,34.64,-120.46,81.0,12.75,1
47,New Norfolk,1571617519,45,-42.78,147.06,64.99,9.17,20
240,Opuwo,1571617707,45,-18.06,13.84,75.0,4.38,31
169,Pacific Grove,1571617638,45,36.62,-121.92,75.99,5.82,1
380,Margate,1571617841,45,-43.03,147.26,64.99,9.17,20
297,Airai,1571617762,45,-8.93,125.41,84.15,4.61,10
123,Hobart,1571617592,45,-42.88,147.33,64.99,9.17,20
527,Rupert,1571617981,45,42.62,-113.68,46.4,9.17,75
298,Gharo,1571617763,44,24.74,67.58,75.2,9.17,0
22,Bluff,1571617496,44,-23.58,149.07,78.86,16.42,3
286,Sirjan,1571617751,44,29.44,55.67,53.44,5.3,10
419,Wollongong,1571617878,43,-34.42,150.89,72.0,6.93,20
500,Wairoa,1571617953,43,-39.04,177.43,68.0,15.01,2
464,Bayji,1571617920,42,34.93,43.49,73.67,8.52,25
27,Kutum,1571617500,41,14.2,24.66,77.67,5.41,97
262,Price,1571617729,41,39.6,-110.81,42.8,9.17,1
82,Codrington,1571617551,40,-28.95,153.24,71.6,6.93,90
88,Flinders,1571617557,40,-34.58,150.85,72.0,3.36,0
415,Leeton,1571617874,40,-34.55,146.4,69.01,2.24,0
390,Riyadh,1571617850,40,24.63,46.72,69.8,2.24,0
58,Arinos,1571617529,39,-15.92,-46.11,80.62,6.06,90
420,Kaitangata,1571617879,39,-46.28,169.85,54.0,17.0,31
425,Ramona,1571617883,39,33.04,-116.87,81.0,9.17,1
102,Buraydah,1571617571,38,26.33,43.97,75.2,5.82,0
116,Mandalgovi,1571617584,38,45.76,106.27,33.93,8.5,4
3,Carnarvon,1571617475,36,-30.97,22.13,56.21,17.63,0
405,Ndola,1571617865,36,-12.97,28.64,65.79,3.49,0
104,Waitati,1571617573,35,-45.75,170.57,55.99,17.0,74
310,Zhangjiakou,1571617774,35,40.77,114.88,37.71,3.42,0
376,Ruwi,1571617837,34,23.6,58.55,78.35,2.37,0
365,Pisco,1571617827,30,-13.71,-76.2,71.6,16.11,0
246,Salalah,1571617713,30,17.01,54.1,82.4,10.29,0
79,Mar del Plata,1571617549,30,-46.43,-67.52,62.37,20.36,97
391,Nangong,1571617851,29,37.36,115.37,57.44,4.54,0
40,Faya,1571617513,29,18.39,42.45,62.6,4.7,0
270,Rawson,1571617736,29,-43.3,-65.11,72.75,9.28,65
96,Broken Hill,1571617565,28,-31.97,141.45,68.0,11.41,0
479,Najran,1571617934,28,17.54,44.22,68.0,2.82,0
95,Sitka,1571617564,28,37.17,-99.65,57.99,11.99,97
127,Port Hedland,1571617596,27,-20.31,118.58,91.4,14.99,25
45,Jamestown,1571617517,27,-33.21,138.6,72.07,3.89,0
421,Dawlatabad,1571617880,26,36.41,64.91,50.61,2.28,56
462,Adrar,1571617918,25,27.87,-0.29,75.2,8.05,0
499,Marzuq,1571617953,24,14.4,46.47,64.46,2.28,35
289,Menongue,1571617754,24,-14.66,17.68,66.44,2.42,47
59,Tessalit,1571617530,23,20.2,1.01,88.23,1.1,65
516,Ahmadpur East,1571617969,23,29.14,71.26,72.07,3.67,0
29,Red Bluff,1571617502,22,40.18,-122.24,78.8,5.82,20
99,Bilma,1571617568,22,18.69,12.92,87.41,11.07,83
296,Goundam,1571617761,19,16.42,-3.66,93.35,6.71,27
348,Santa Barbara,1571617812,19,34.42,-119.7,82.0,10.29,1
0,Araouane,1571617472,19,18.9,-3.53,88.68,4.23,38
282,Vryburg,1571617748,18,-26.96,24.73,67.41,8.7,6
194,Werda,1571617662,18,-25.27,23.28,72.18,8.48,0
510,Kharan,1571617963,17,28.58,65.42,69.77,1.81,0
302,Ojinaga,1571617766,16,29.56,-104.41,87.8,17.22,1
175,Alice Springs,1571617645,13,-23.7,133.88,73.4,14.99,0
305,Yulara,1571617769,11,-25.24,130.99,78.8,18.34,92
178,Mount Isa,1571617648,10,-20.73,139.49,84.2,14.99,0
281,Camp Verde,1571617747,9,34.56,-111.85,72.0,9.17,1
275,Harbour Breton,1571617741,2,47.48,-55.8,46.99,5.01,67
